Film,Actor,Director,Screenwriter
Операция «Нижняя юбка»,Кэри Грант,Блейк Эдвардс,Стэнли Шапиро
Плавучий дом,Кэри Грант,Мелвилл Шэвелсон,Мелвилл Шэвелсон
Поцелуй их за меня,Кэри Грант,Стэнли Донен,Джулиус Дж. Эпштейн
Гордость и страсть,Кэри Грант,Стэнли Крамер,Эдна Анхальт
Незабываемый роман,Кэри Грант,Лео МакКери,Дэлмер Дэйвс
Поймать вора,Кэри Грант,Альфред Хичкок,Джон Майкл Хейс
Идеальная жена,Кэри Грант,Сидни Шелдон,Сидни Шелдон
Обезьяньи проделки,Кэри Грант,Ховард Хоукс,Бен Хект
Есть место еще для одного,Кэри Грант,Норман Торог,Джек Роуз
Люди будут судачить,Кэри Грант,Джозеф Лео Манкевич,Джозеф Лео Манкевич
Кризис,Кэри Грант,Ричард Брукс,Ричард Брукс
Солдат в юбке,Кэри Грант,Ховард Хоукс,Чарльз Ледерер
Каждая девушка должна выйти замуж,Кэри Грант,Дон Хартмен,Дон Хартмен
Мистер Блэндингз строит дом своей мечты,Кэри Грант,Г.К. Поттер,Эрик Ходжинс
Жена епископа,Кэри Грант,Генри Костер,Роберт Э. Шервуд
Холостяк и девчонка,Кэри Грант,Ирвинг Реис,Сидни Шелдон
Ночь и день,Кэри Грант,Майкл Кёртиц,Чарльз Хоффман
Безоговорочно,Клодетт Кольбер,Мервин ЛеРой,Эндрю Солт
Только одинокое сердце,Кэри Грант,Клиффорд Одетс,Клиффорд Одетс
Жили-были,Кэри Грант,Александр Холл,Льюис Мелцер
Пункт назначения – Токио,Кэри Грант,Дэлмер Дэйвс,Стив Фишер
Мистер Счастливчик,Кэри Грант,Г.К. Поттер,Милтон Холмс
Однажды в медовый месяц,Кэри Грант,Лео МакКери,Шеридан Гибни
Весь город говорит,Кэри Грант,Джордж Стивенс,Ирвин Шоу
Подозрение,Кэри Грант,Альфред Хичкок,Самсон Рэфелсон
Грошовая серенада,Айрин Данн,Джордж Стивенс,Морри Рискинд
Ховарды из Вирджинии,Кэри Грант,Фрэнк Ллойд,Сидни Бакмен
Моя любимая жена,Айрин Данн,Гарсон Канин,Белла Спивак
Лишь на словах,Кэрол Ломбард,Джон Кромуэлл,Ричард Шерман
Только у ангелов есть крылья,Кэри Грант,Ховард Хоукс,Джулс Фёртмен
Ганга Дин,Кэри Грант,Джордж Стивенс,Джоэль Сейр
Топпер,Констанс Беннетт,Норман З. МакЛеод,Эдди Моран
Праздник,Кэтрин Хепберн,Джордж Кьюкор,Доналд Огден Стюарт
Ужасная правда,Айрин Данн,Лео МакКери,Вина Делмар
Любимец Нью-Йорка,Эдвард Арнольд,Роулэнд В. Ли,Дадли Николс
Топпер,Констанс Беннетт,Норман З. МакЛеод,Джек Джевне
Когда ты влюблен,Грэйс Мур,Роберт Рискин,Этель Хилл
Удивительные приключения,Кэри Грант,Альфред Зейслер,Э. Филлипс Оппенхайм
Свадебный подарок,Джоан Беннетт,Ричард Уоллес,Джозеф Энтони
Сюзи,Джин Харлоу,Джордж Фицморис,Дороти Паркер
Большие карие глаза,Кэри Грант,Рауль Уолш,Рауль Уолш
Сильвия Скарлетт,Кэтрин Хепберн,Джордж Кьюкор,Глэдис Унгер
Последняя застава,Кэри Грант,Чарльз Бартон,Ф. Бриттен Остин
Крылья во тьме,Мирна Лой,Джеймс Флуд,Джек Керклэнд
"Войдите, мадам",Элисса Ланди,Эллиотт Наджент,Гильда Варези Арчибальд
Поцелуй и накрась губы,Кэри Грант,Хэрлан Томпсон,Иштван Бекеффи
Рожденная быть плохой,Лоретта Янг,Лоуелл Шерман,Ральф Грейвз
Принцесса на тридцать дней,Сильвия Сидни,Мэрион Геринг,Престон Стёрджес
Алиса в стране чудес,Ричард Арлен,Норман З. МакЛеод,Джозеф Лео Манкевич
Я не ангел,Мэй Уэст,Уэсли Рагглз,Мэй Уэст
Орел и сокол,Фредрик Марч,Стюарт Уолкер,Сетон И. Миллер
Обвиняемая,Нэнси Кэрролл,Пол Слоун,Гертруда Атертон
Она обошлась с ним нечестно,Мэй Уэст,Лоуелл Шерман,Мэй Уэст
Мадам Батерфляй,Сильвия Сидни,Мэрион Геринг,Дэвид Беласко
Жаркая суббота,Кэри Грант,Уильям А. Сайтер,Сетон И. Миллер
Белокурая Венера,Марлен Дитрих,Джозеф фон Штернберг,Джулс Фёртмен
Дьявол и глубина,Таллула Бэнкхед,Мэрион Геринг,Гарри Херви
Весело мы катимся в ад,Сильвия Сидни,Дороти Арзнер,Эдвин Джастас Мейер
Грешники под солнцем,Кэрол Ломбард,Александр Холл,Милдред Крэм
Эта ночь,Лили Дамита,Фрэнк Таттл,Генри Фальк
Огненный бой,Стивен Болдуин,Пол Зиллер,Элизабет Санчез
Дом мертвецов,Джонатан Черри,Уве Болл,Марк А. Олтмэн
Баллистика: Экс против Сивер,Антонио Бандерас,Вич Каосаянанда,Алан Б. МакЭлрой
Репликант,Жан-Клод Ван Дамм,Ринго Лам,Лоуренс Риггинс
Четвертая война,Рой Шайдер,Джон Франкенхаймер,Стивен Питерс
Гроза,Дэвид Палффи,Дэвид Уиннинг,Дэвид Уиннинг
Рождение,Николь Кидман,Джонатан Глейзер,Жан-Клод Каррьер
Одуванчик,Винсент Картайзер,Марк Милгард,Марк Милгард
Большая плохая любовь,Арлисс Ховард,Арлисс Ховард,Ларри Браун
Карта мира,Сигурни Уивер,Скотт Эллиотт,Джейн Хэмилтон
Меньшее зло,Колм Фиор,Дэвид Маккэй,Джереми Ливайн
Амистад,Морган Фриман,Стивен Спилберг,Дэвид Францони
Парк Юрского периода 2: Затерянный мир,Джефф Голдблюм,Стивен Спилберг,Майкл Крайтон
Джоны,Дэвид Аркетт,Скотт Сильвер,Скотт Сильвер
Эротические истории,Шэрон Анджела,Боб Рейфелсон,Хетти Бэйнес
Мокрое,Арлисс Ховард,Боб Рейфелсон,Боб Рейфелсон
"Вонг Фу, с благодарностью за всё! Джули Ньюмар",Уэсли Снайпс,Бибан Кидрон,Дуглас Картер Бини
Прирожденные убийцы,Вуди Харрельсон,Оливер Стоун,Квентин Тарантино
Почище напалма,Дебра Уингер,Гленн Гордон Карон,Винс Гиллиган
Площадка,Арт ЛаФлёр,Дэвид М. Эванс,Дэвид М. Эванс
Вкривь и вкось,Дэвид Арнотт,Крис Менгис,Скотт Соммер
Руби,Фрэнк Орсатти,Джон Маккензи,Стивен Дэвис
Для парней,Бетт Мидлер,Марк Райделл,Нил Хименес
Мужчины не уходят,Джессика Лэнг,Пол Брикман,Барбара Бенедек
Пьяный рассвет,Мэл Гибсон,Роберт Таун,Роберт Таун
Дамский клуб,Карен Остин,Джанет Грик,Кэйси Бишоп
Плавучий маяк,Михал Сколимовски,Ежи Сколимовский,Зигфрид Ленц
Сильвестр,Ричард Фарнсуорт,Тим Хантер,Кэрол Собески
Блудная дочь,Джон Хэммонд,Джеймс Ф. Колье,Джеймс Ф. Колье
Приключения няни,Элизабет Шу,Крис Коламбус,Дэвид Симкинс
Лай,Ли Тергесен,Кася Адамик,Хезер Морган
Пришелец,Гэри Синиз,Гэри Фледер,Филип К. Дик
Стены Челси,Бьянка Хантер,Итан Хоук,Николь Бёрдетт
Укради этот фильм,Винсент Д’Онофрио,Роберт Гринуолд,Анита Хоффман
Счастливые случаи,Мариса Томей,Брэд Андерсон,Брэд Андерсон
Испанские судьи,Винсент Д’Онофрио,Оз Скотт,Уильям Регор
Тринадцатый этаж,Крэйг Бирко,Йозеф Руснак,Дэниэл Ф. Галуйе
Скоростной Гари,Винсент Д’Онофрио,Дэн Айрлэнд,Джеймс Стилл
Клэр Долан,Кэтрин Картлидж,Лодж Х. Керриган,Лодж Х. Керриган
Братья Ньютон,Мэттью Макконахи,Ричард Линклейтер,Клод Стануш
Люди в чёрном,Томми Ли Джонс,Барри Зонненфельд,Лоуэлл Каннингем
Жизнь парней 2,Майкл Сауседо,Марк Кристофер,Марк Кристофер
Желаю удачи,Грегори Хайнс,Ричард Лябри,Боб Комфорт
Гай,Винсент Д’Онофрио,Майкл Линдсей-Хогг,Кирби Дик
Чувствуя Миннесоту,Киану Ривз,Стивен Бэйджелман,Стивен Бэйджелман
Победитель,Ребекка Де Морнэй,Алекс Кокс,Венди Рисс
Весь огромный мир,Винсент Д’Онофрио,Дэн Айрлэнд,Новалин Прайс Эллис
Отель «Парадиз»,Тереза Расселл,Николас Роуг,Майкл Аллин
Странные дни,Рэйф Файнс,Кэтрин Бигелоу,Джеймс Кэмерон
Стюарт спасает свою семью,Эл Фрэнкен,Харольд Рэмис,Эл Фрэнкен
Благородный аферист,Харви Кейтель,Энтони Дрэйзен,Шила Бэллентайн
Быть человеком,Робин Уильямс,Билл Форсайт,Билл Форсайт
Мистер Прекрасный,Мэтт Диллон,Энтони Мингелла,Эми Шпор Феррис
Домашние святые,Трейси Ульман,Нэнси Сэвока,Франсин Проуз
Малкольм Икс,Дензел Вашингтон,Спайк Ли,Арнольд Перл
Соль на нашей коже,Грета Скакки,Эндрю Биркин,Эндрю Биркин
Джон Ф. Кеннеди: Выстрелы в Далласе,Кевин Костнер,Оливер Стоун,Джим Гаррисон
Пламя в душе,Джимми Смитс,Джиллиан Армстронг,Синтия Сидре
Умереть молодым,Джулия Робертс,Джоэл Шумахер,Марти Леймбах
Нечестные сердца,Питер Берг,Майкл Бортман,Роберт Босвелл
Обнаженное танго,Винсент Д’Онофрио,Леонард Шредер,Леонард Шредер
Знаки жизни,Бо Бриджес,Джон Дэвид Коулз,Марк Мэлоун
Приветствие джаггера,Рутгер Хауэр,Дэвид Уэбб Пиплз,Дэвид Уэбб Пиплз
Мистическая пицца,Аннабет Гиш,Дональд Питри,Эми Холден Джонс
Первые сексуальные опыты,Джорджия Харрелл,Майкл Херц,Джорджия Харрелл
Осень Шайеннов,Ричард Уидмарк,Джон Форд,Мари Сандос
Риф Донована,Джон Уэйн,Джон Форд,Фрэнк С. Наджент
Два всадника,Джеймс Стюарт,Джон Форд,Фрэнк С. Наджент
С террасы,Пол Ньюман,Марк Робсон,Джон О’Хара
Сержант Ратлидж,Джеффри Хантер,Джон Форд,Джеймс Уорнер Белла
Крик ужаса,Джеймс Мейсон,Эндрю Л. Стоун,Эндрю Л. Стоун
Крылья орлов,Джон Уэйн,Джон Форд,Фрэнк Фентон
Девочки в тюрьме,Ричард Деннинг,Эдвард Л. Кан,Лу Русофф
Джулия,Дорис Дэй,Эндрю Л. Стоун,Эндрю Л. Стоун
Пока город спит,Дэна Эндрюс,Фриц Ланг,Кэйси Робинсон
Ад в заливе Фриско,Алан Лэдд,Фрэнк Таттл,Сидни Боэм
"С добрым утром, мисс Дав",Дженнифер Джонс,Генри Костер,Элеанор Гриффин
Высокие мужчины,Кларк Гейбл,Рауль Уолш,Сидни Боэм
Принц игроков,Ричард Бёртон,Филип Данн,Сэмюэл Фуллер
Звезда родилась,Джуди Гарлэнд,Джордж Кьюкор,Мосс Харт
Проект убийства,Джозеф Коттен,Эндрю Л. Стоун,Эндрю Л. Стоун
Плащаница,Ричард Бёртон,Генри Костер,Филип Данн
Яркий свет солнца,Чарльз Виннингер,Джон Форд,Лоуренс Сталлингс
Титаник,Клифтон Уэбб,Жан Негулеско,Чарльз Брэкетт
Ночь без сна,Линда Дарнелл,Рой Уорд Бейкер,Элик Молл
Модель и сваха,Джинн Крейн,Джордж Кьюкор,Чарльз Брэкетт
Мой голубой рай,Бетти Грэйбл,Генри Костер,Клод Биньон
Стрелок,Грегори Пек,Генри Кинг,Уильям Бауэрс
Когда Вилли возвращался домой,Дэн Дейли,Джон Форд,Сай Гомберг
Это случается каждой весною,Рэй Милланд,Ллойд Бэйкон,Валентайн Дейвис
Боец из Кентукки,Джон Уэйн,Джордж Ваггнер,Джордж Ваггнер
Удар,Брайан Донлеви,Артур Любин,Дороти Девенпорт
Письмо трем женам,Джинн Крейн,Джозеф Лео Манкевич,Вера Каспари
Глубокие воды,Дэна Эндрюс,Генри Кинг,Рут Мур
3 крестных отца,Джон Уэйн,Джон Форд,Лоуренс Сталлингс
Змеиная яма,Оливия Де Хэвилленд,Анатоль Литвак,Фрэнк Партос
Форт Апачи,Джон Уэйн,Джон Форд,Фрэнк С. Наджент
Покойный Джордж Эпли,Рональд Колман,Джозеф Лео Манкевич,Филип Данн
Моя дорогая Клементина,Генри Фонда,Джон Форд,Сэмюэл Дж. Энджел
Бог ей судья,Джин Тирни,Джон М. Стал,Джо Сверлинг
Сестрички Долли,Бетти Грэйбл,Ирвинг Каммингс,Джон Ларкин
Дерево растет в Бруклине,Дороти МакГуайр,Элиа Казан,Тесс Слезингер
"Тем временем, дорогая",Джинн Крейн,Отто Преминджер,Артур Кобер
Джейн Эйр,Орсон Уэллс,Роберт Стивенсон,Шарлотта Бронте
Салливаны,Энн Бакстер,Ллойд Бэйкон,Мэри С. МакКолл мл.
Песня Бернадетт,Дженнифер Джонс,Генри Кинг,Джордж Ситон
